product_name,store_name,reviewer_name,rating,review_text,review_date,variant,review_id,sentiment_label,review_text_raw,review_text_clean,text_length
"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,s***m,2,"overall ok but service admin H so bad, so pushy for order & can tell about next day promo more cheapest 😠",Lebih dari 1 tahun lalu,Promo Natural - 128GB,e929a66f3db6,Negatif,[EDA] overall ok but service admin h so bad so pushy for order can tell about next day promo more cheapest,overall ok but service admin h so bad so pushy for order can tell about next day promo more cheapest,20
"Apple iPhone 17 Pro 1TB | 512GB | 256GB A19 Pro New Garansi Resmi - 256GB, Deep Blue",Studio Ponsel Store,S***e,1,"HATI2 GUYS YANG MAU BELI DARI TOKO INI! Imei tidak terdaftar, katanya mau dibantu tapi kemudian diulur2 dan super slow respon. Minta bukti registrasi on process tidak dik...",Lebih dari 1 tahun lalu,13 Pro 256GB - Sierra Blue,4bf27c3252dc,Negatif,[EDA] hati2 guys yang mau beli dari toko ini imei tidak terdaftar katanya mau dibantu tapi kemudian diulur2 dan super slow respon minta bukti registrasi on process tidak dik,hati2 guys yang mau beli dari toko ini imei tidak terdaftar katanya mau dibantu tapi kemudian diulur2 dan super slow respon minta bukti registrasi on process tidak dik,28
"Apple iPhone 17 Pro Max Garansi Resmi Indonesia - 256Gb, Deep Blue",Senjaya Selindo,g***l,5,oriiginal ibox,Lebih dari 1 tahun lalu,128Gb - Blue,a6b25c21543c,Positif,oriiginal ibox,oriiginal ibox,2
"Apple iPhone 17 Pro 256GB 512GB 1TB A19 Pro Chip Blue Orange Silver Garansi Apple - 256GB, Deep Blue",Unknown,D***a,5,"order malam langsung di proses, pengiriman cepat dan aman, spesifikasi barangnya sesuai, recommended seller.",Lebih dari 1 tahun lalu,128GB - Red,46dbe5abf79f,Positif,"order malam langsung di proses, pengiriman cepat dan aman, spesifikasi barangnya sesuai, recommended seller.",order malam langsung di proses pengiriman cepat dan aman spesifikasi barangnya sesuai recommended seller,14
"Apple iPhone 17 Pro Garansi Resmi Indonesia - 256Gb, Deep Blue",Senjaya Selindo,H***y,5,"Barang ok, original dan berfungsi baik",Lebih dari 1 tahun lalu,,c0cbe6b74495,Positif,"Barang ok, original dan berfungsi baik",barang ok original dan berfungsi baik,6
APPLE IPHONE 13 / IPHONE 14 / IPHONE 15 / IPHONE 16 / IPHONE 17 128GB 256GB GARANSI RESMI IBOX,ALIENWARE GAMING STORE,Anonymous,3,"respon dan proses penjualnya lama, terimakasih",Lebih dari 1 tahun lalu,,6cfffe065837,Netral,[EDA] dan respon proses penjualnya lama terimakasih,dan respon proses penjualnya lama terimakasih,6
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Milano Cell,M***g,1,HP SECOND . KATANYA BARU TERNYATA DI KIRIM SUDAH AKTIF .,Lebih dari 1 tahun lalu,Black,d96dbeba6fa9,Negatif,[EDA] hp second katanya baru ternyata di kirim sudah aktif,hp second katanya baru ternyata di kirim sudah aktif,9
"Apple iPhone 17 Pro 1TB | 512GB | 256GB A19 Pro New Garansi Resmi - 256GB, Deep Blue",Studio Ponsel Store,Anonymous,3,"Proses lambat, 2jam, pengiriman hanya 30 menit. Janji mau dikasih screen protector (kalau masih ada) tdk dikasih dan tidak ada berita. Ditanya baru dijawab habis. Sy kec...",Lebih dari 1 tahun lalu,Promax 256GB - Silver IBOX,7d17129a5d1c,Netral,[EDA] proses lambat 2jam pengiriman hanya 30 menit janji mau dikasih screen protector kalau masih ada tdk dikasih dan tidak ada berita ditanya baru dijawab habis sy kec,proses lambat 2jam pengiriman hanya 30 menit janji mau dikasih screen protector kalau masih ada tdk dikasih dan tidak ada berita ditanya baru dijawab habis sy kec,27
"Apple iPhone 17 Pro 1TB | 512GB | 256GB A19 Pro New Garansi Resmi - 256GB, Deep Blue",Studio Ponsel Store,A***n,2,"Barang original, signal aman.. tetapi saya dapat barang produksi jepang dan saya tidak bisa silent camera.. memang saya tidak request utk bukan product jepang krn saya ti...",Lebih dari 1 tahun lalu,13 Pro 256GB - Gold,ca68b9f8fccb,Negatif,[EDA] barang authentic signal aman tetapi saya dapat barang produksi jepang dan saya tidak bisa silent camera memang saya tidak request utk bukan product jepang krn saya ti,barang authentic signal aman tetapi saya dapat barang produksi jepang dan saya tidak bisa silent camera memang saya tidak request utk bukan product jepang krn saya ti,27
"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,Anonymous,5,"barang oke, diterima dg baik, seller fast response as usual. garansinya resmi, kali ini dapet yg TAM/IBOX. makasih gan",Lebih dari 1 tahun lalu,Promo Blue - 128GB,740bb1fe11cc,Positif,"barang oke, diterima dg baik, seller fast response as usual. garansinya resmi, kali ini dapet yg TAM/IBOX. makasih gan",barang oke diterima dg baik seller fast response as usual garansinya resmi kali ini dapet yg tam ibox makasih gan,20
