product_name,store_name,reviewer_name,rating,review_text,review_date,variant,review_id,sentiment_label,review_text_raw,review_text_clean,text_length,label
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,D***a,5,Sudah murah free case & anti gores lagi terbaikk🫶,Lebih dari 1 tahun lalu,White,5574a8f3e8ec,Positif,Sudah murah free case & anti gores lagi terbaikk🫶,sudah murah free case anti gores lagi terbaikk,8,1
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,I***n,5,Hpnya Baguss bangettt mantapp Kurirnya kek tai gada sopan sopannya!,Lebih dari 1 tahun lalu,Black,fc5cd560b56a,Positif,Hpnya Baguss bangettt mantapp Kurirnya kek tai gada sopan sopannya!,hpnya baguss bangettt mantapp kurirnya kek tai gada sopan sopannya,10,1
"Apple iPhone 17 Pro Garansi Resmi Indonesia - 256Gb, Deep Blue",Senjaya Selindo,H***y,5,"Barang ok, original dan berfungsi baik",Lebih dari 1 tahun lalu,,c0cbe6b74495,Positif,"Barang ok, original dan berfungsi baik",barang ok original dan berfungsi baik,6,1
"Apple iPhone 17 Pro Max Garansi Resmi Indonesia - 256Gb, Deep Blue",Senjaya Selindo,A***a,5,recommended seller!,Lebih dari 1 tahun lalu,,93e57f857ae8,Positif,recommended seller!,recommended seller,2,1
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,Anonymous,5,"Paketnya sudah mendrat dengan mulus, makasih milano cell, jgn ragu guys belanja disini",Lebih dari 1 tahun lalu,White,f2d865747201,Positif,"Paketnya sudah mendrat dengan mulus, makasih milano cell, jgn ragu guys belanja disini",paketnya sudah mendrat dengan mulus makasih milano cell jgn ragu guys belanja disini,13,1
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Milano Cell,J***f,5,Pakeet amann mantappp Kirain dapet softcase + tg Trnayata kagakk 😂 Overall puas sm seller,1 bulan lalu,Sage,f5567e418cb4,Positif,Pakeet amann mantappp Kirain dapet softcase + tg Trnayata kagakk 😂 Overall puas sm seller,pakeet amann mantappp kirain dapet softcase tg trnayata kagakk overall puas sm seller,13,1
"Apple iPhone 17 Pro Max Garansi Resmi Indonesia - 256Gb, Deep Blue",Senjaya Selindo,H***i,5,Mantapp recomended seller,Lebih dari 1 tahun lalu,,e56a98926128,Positif,Mantapp recomended seller,mantapp recomended seller,3,1
"Apple iPhone 17 - Garansi Resmi Apple Indonesia - 256GB, Lavender",Unknown,Anonymous,5,selalu puas beli disini udah berkali2 semuanya bagus barangnya 🔥🔥🔥🔥🔥,2 minggu lalu,256GB - White,1cdbded9a96b,Positif,selalu puas beli disini udah berkali2 semuanya bagus barangnya 🔥🔥🔥🔥🔥,selalu puas beli disini udah berkali2 semuanya bagus barangnya,9,1
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,Anonymous,5,"Pesanan telah sampai dgn selamat,dan diksih anti gres dan silicone yg bagus,teman2 gak usah ragu belanja di milano cell dpt gold mini juga,brgnya dijamin ori garansi ibox...",Lebih dari 1 tahun lalu,Black,85abe1c1e43e,Positif,"Pesanan telah sampai dgn selamat,dan diksih anti gres dan silicone yg bagus,teman2 gak usah ragu belanja di milano cell dpt gold mini juga,brgnya dijamin ori garansi ibox...",pesanan telah sampai dgn selamat dan diksih anti gres dan silicone yg bagus teman2 gak usah ragu belanja di milano cell dpt gold mini juga brgnya dijamin ori garansi ibox,30,1
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,Anonymous,5,Barang datang dgn aman dan baik trimakasi akak² milano..... smoga awet selalu Aamiin...,Lebih dari 1 tahun lalu,White,c14b87f37b85,Positif,Barang datang dgn aman dan baik trimakasi akak² milano..... smoga awet selalu Aamiin...,barang datang dgn aman dan baik trimakasi akak milano smoga awet selalu aamiin,13,1
"Apple iPhone 17 256GB 512GB Lavender Sage Mist Blue White Black Garansi Apple 1 Tahun - 256GB, Black",New RizkyApple,Anonymous,5,"Iphone original, garansi resmi digimap Indonesia. Hanya pengiriman aja yg agak lama. Masukan aja kemasan selanjutnya ditambahin bubble wrap lg.",3 minggu lalu,256GB - Mist Blue,a3f21b32c38e,Positif,"Iphone original, garansi resmi digimap Indonesia. Hanya pengiriman aja yg agak lama. Masukan aja kemasan selanjutnya ditambahin bubble wrap lg.",iphone original garansi resmi digimap indonesia hanya pengiriman aja yg agak lama masukan aja kemasan selanjutnya ditambahin bubble wrap lg,20,1
"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,B***i,5,respon cepat pengiriman aman... barang blm di coba sih mudah2an aman,Lebih dari 1 tahun lalu,Promo Blue - 256GB,447833cdb6de,Positif,respon cepat pengiriman aman... barang blm di coba sih mudah2an aman,respon cepat pengiriman aman barang blm di coba sih mudah2an aman,11,1
"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,Anonymous,5,beli disini memuaskan sekali harga afordble banget daripada toko lain (waktu promo) ditunggu promo ipad pro M4 nya ya kak 😂,Lebih dari 1 tahun lalu,Promo Blue - 128GB,d1a2915d6706,Positif,beli disini memuaskan sekali harga afordble banget daripada toko lain (waktu promo) ditunggu promo ipad pro M4 nya ya kak 😂,beli disini memuaskan sekali harga afordble banget daripada toko lain waktu promo ditunggu promo ipad pro m4 nya ya kak,20,1
[FS MILANO] Apple iPhone 17 256GB Garansi Resmi - Black,Unknown,B***o,5,Yang di tunggu-tunggu akhirnya datang juga. Barang Original New iPhone resmi Indonesia. Buat teman-teman yang mau order iPhone secara online aku kasih rekomendasi untuk b...,Lebih dari 1 tahun lalu,White,49ed14db4b94,Positif,Yang di tunggu-tunggu akhirnya datang juga. Barang Original New iPhone resmi Indonesia. Buat teman-teman yang mau order iPhone secara online aku kasih rekomendasi untuk b...,yang di tunggu tunggu akhirnya datang juga barang original new iphone resmi indonesia buat teman teman yang mau order iphone secara online aku kasih rekomendasi untuk b,27,1
"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,A***g,5,Mantab produk asli dan pengiriman cepat serta admin sangat responsif! Luar biasa sih,Lebih dari 1 tahun lalu,Promo Blue - 256GB,8bb13463d321,Positif,Mantab produk asli dan pengiriman cepat serta admin sangat responsif! Luar biasa sih,mantab produk asli dan pengiriman cepat serta admin sangat responsif luar biasa sih,13,1
iPhone 17 PRO 256GB Kamera 48MP & Baterai 3998 mAh Garansi Resmi Indonesia - DEEP BLUE,Unknown,A***s,5,"barang ORI, thanks!",2 bulan lalu,DEEP BLUE,0d01ea6b0eb4,Positif,"barang ORI, thanks!",barang ori thanks,3,1
"[ RESMI ] Apple iPhone 17 Pro 256GB 512GB 1TB A19 Pro Garansi Resmi - ID PA SA/A - [ DIGITECH } - 256GB , Deep Blue",Digitech Mall,D***a,5,"sempet dah dig dug karena udah mau sore hp belum dikirim, ga ada grab yang pick up, padahal udah pengen banget liat hpnya. akhirnya datang juga abis magrib. garansi resmi...",4 bulan lalu,B,e10cb166f091,Positif,"sempet dah dig dug karena udah mau sore hp belum dikirim, ga ada grab yang pick up, padahal udah pengen banget liat hpnya. akhirnya datang juga abis magrib. garansi resmi...",sempet dah dig dug karena udah mau sore hp belum dikirim ga ada grab yang pick up padahal udah pengen banget liat hpnya akhirnya datang juga abis magrib garansi resmi,30,1
"(RESMI) iPhone 17 Pro Max ProMax 256GB 512GB 1TB A19 Pro Chip Silver Cosmic Orange Deep Blue - 256GB, Deep Blue",Putra Group,A***h,5,"Barang ori , respond selller cepat . Di kasih free casing juga lagi thank u 👍",4 bulan lalu,256 GB - Cosmic Orange,1a83003a3978,Positif,"Barang ori , respond selller cepat . Di kasih free casing juga lagi thank u 👍",barang ori respond selller cepat di kasih free casing juga lagi thank u,13,1
