review_id,product_url,product_name,store_name,reviewer_name,rating,review_text,review_date,variant,helpful_count,scraped_at
65f24403bf0f,https://www.tokopedia.com/kungfu-gadget/kg-apple-iphone-17-pro-series-garansi-resmi-ibox-gdn-1733195417491047609,"(KG) Apple iPhone 17 Pro Series Garansi Resmi IBOX / GDN - Iphone 17 Pro 256GB, Deep Blue",Kungfu Gadget,N***r,5,"Uhuuy sangat mantap, sangat puat. resmi segel BNIB. bakal langganan terus. respon admin juga gerceeep. Terimakasih",2 bulan lalu,Varian: Iphone 17 Pro 512GB - Silver,0,2026-03-10T00:33:54.272199
63bdb1153611,https://www.tokopedia.com/kungfu-gadget/kg-apple-iphone-17-pro-series-garansi-resmi-ibox-gdn-1733195417491047609,"(KG) Apple iPhone 17 Pro Series Garansi Resmi IBOX / GDN - Iphone 17 Pro 256GB, Deep Blue",Kungfu Gadget,Anonymous,5,selalu terbaik.. langganan pokoknya... puas beli disini,3 bulan lalu,Varian: Iphone 17 Pro 256GB - Cosmic Orange,0,2026-03-10T00:33:54.835879
055ecc02807a,https://www.tokopedia.com/kungfu-gadget/kg-apple-iphone-17-pro-series-garansi-resmi-ibox-gdn-1733195417491047609,"(KG) Apple iPhone 17 Pro Series Garansi Resmi IBOX / GDN - Iphone 17 Pro 256GB, Deep Blue",Kungfu Gadget,I***s,5,"Admin sangat responsif, barangnya sampai dengan selamat allhamdulilah 🥰🙏🏻🤍",2 bulan lalu,Varian: Iphone 17 Pro 256GB - Silver,0,2026-03-10T00:33:55.012949
7938631f1398,https://www.tokopedia.com/kungfu-gadget/kg-apple-iphone-17-pro-series-garansi-resmi-ibox-gdn-1733195417491047609,"(KG) Apple iPhone 17 Pro Series Garansi Resmi IBOX / GDN - Iphone 17 Pro 256GB, Deep Blue",Kungfu Gadget,Anonymous,5,sesuai deskripsi mantaf Ty boskuh,2 minggu lalu,Varian: Iphone 17 Pro 256GB - Silver,0,2026-03-10T00:33:55.256443
24bf699df079,https://www.tokopedia.com/kungfu-gadget/kg-apple-iphone-17-pro-series-garansi-resmi-ibox-gdn-1733195417491047609,"(KG) Apple iPhone 17 Pro Series Garansi Resmi IBOX / GDN - Iphone 17 Pro 256GB, Deep Blue",Kungfu Gadget,b***i,5,Cepet banget,2 bulan lalu,Varian: Iphone 17 Pro 256GB - Cosmic Orange,0,2026-03-10T00:33:55.401947
b6a112455455,https://www.tokopedia.com/kungfu-gadget/kg-apple-iphone-17-pro-series-garansi-resmi-ibox-gdn-1733195417491047609,"(KG) Apple iPhone 17 Pro Series Garansi Resmi IBOX / GDN - Iphone 17 Pro 256GB, Deep Blue",Kungfu Gadget,Anonymous,5,"sesuai iklan, mantap, sippp",1 bulan lalu,Varian: Iphone 17 Pro 512GB - Deep Blue,0,2026-03-10T00:33:55.594923
e1d77769472b,https://www.tokopedia.com/kungfu-gadget/kg-apple-iphone-17-pro-series-garansi-resmi-ibox-gdn-1733195417491047609,"(KG) Apple iPhone 17 Pro Series Garansi Resmi IBOX / GDN - Iphone 17 Pro 256GB, Deep Blue",Kungfu Gadget,H***s,5,"Bener2 dah packing nya, salah satu official dengan packing yang sangat amat mantap",3 minggu lalu,Varian: Iphone 17 Pro 256GB - Cosmic Orange,0,2026-03-10T00:33:55.731030
cce4548a4710,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,G***x,5,"Barang sdh sampai diterima dalam kondisi baik, berfungsi baik. Seller responsif,, thankyou 🙏",2 bulan lalu,Varian: DEEP BLUE - 256GB,0,2026-03-10T00:34:16.621176
7e6ab3f1c3e3,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,A***i,5,Diterima dengan baik Garansi ibox,2 bulan lalu,Varian: DEEP BLUE - 256GB,0,2026-03-10T00:34:17.087557
ad4322d63ec5,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,g***n,5,mantap barang diterima dengan baikpengiriman cepat,9 bulan lalu,,0,2026-03-10T00:34:17.937419
a3207afc6edc,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,i***o,5,produk mantapsfungsi semua normal tidak ada kendala,9 bulan lalu,,0,2026-03-10T00:34:18.134708
d13cbcabcec4,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,R***a,5,"pengiriman cepat, packing rapi dan kualitas bagus",8 bulan lalu,,0,2026-03-10T00:34:18.298857
078e7e193dae,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,i***o,5,akhirnya barangnya sudah sampai dengan selamat,8 bulan lalu,,0,2026-03-10T00:34:18.456438
33180ba6383e,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,R***a,5,Proses dan pengiriman cepat,8 bulan lalu,,0,2026-03-10T00:34:18.622028
837e10b9b7fc,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,Anonymous,5,packing rapi kualitas bagus,8 bulan lalu,,0,2026-03-10T00:34:18.819233
cd17c8e2d167,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,i***o,5,sesuai dengan keinginan,9 bulan lalu,,0,2026-03-10T00:34:22.007349
a2572674ad68,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,P***a,5,berfungsi dengan baik,8 bulan lalu,,0,2026-03-10T00:34:22.223257
907f91c3cbc0,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,g***n,5,barang original,9 bulan lalu,,0,2026-03-10T00:34:22.321415
17d8b63f411b,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,G***a,5,okee bangettt,8 bulan lalu,,0,2026-03-10T00:34:22.527807
8910fa820dd9,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,g***n,5,terima kasih,8 bulan lalu,,0,2026-03-10T00:34:22.614693
783656159c11,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,M***q,5,Kejernihan lensa: top Kualitas pengerjaan: top Performa: top,2 bulan lalu,Varian: DEEP BLUE - 256GB,0,2026-03-10T00:34:22.759562
fd446be54e18,https://www.tokopedia.com/royalltech/apple-iphone-17-pro-1tb-all-collors-resmi-apple-indonesia-segel-greenpeel-1733546747226129911,"APPLE iPhone 17 PRO 1TB All Collors Resmi APPLE INDONESIA Segel Greenpeel - COSMIC ORANGE, 256GB",royalltech,Anonymous,5,Jangan khawatir ke asliannya 👌,1 bulan lalu,Varian: SILVER - 256GB,0,2026-03-10T00:34:22.918439
