review_id,product_url,product_name,store_name,reviewer_name,rating,review_text,review_date,variant,helpful_count,scraped_at
998bf06a212c,https://www.tokopedia.com/ismile-indonesia/apple-iphone-17-pro-garansi-resmi-256gb-512gb-1tb-1733012623030978443,"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,Anonymous,3,Barang Tidak diterima. Utk kurir sapx: Bintang 0 (Barang hilang) Klaim asuransi memakan waktu 1 bln lebih smpai uang dikembalikan. Beli lg pakai kurir J&T aman cm 2ha...,Lebih dari 1 tahun lalu,Varian: Promo Black - 128GB,0,2026-03-11T23:45:35.226793
0dbc3307f950,https://www.tokopedia.com/ismile-indonesia/apple-iphone-17-pro-garansi-resmi-256gb-512gb-1tb-1733012623030978443,"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,T***a,1,minta ibox di kasih gdn .. pengiriman lama sekali..,Lebih dari 1 tahun lalu,Varian: White - 256GB,0,2026-03-11T23:46:34.845376
2b92754cf688,https://www.tokopedia.com/ismile-indonesia/apple-iphone-17-pro-garansi-resmi-256gb-512gb-1tb-1733012623030978443,"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,Anonymous,1,"cacat bgt ini,modus jualan hp imei ga kedaftar..tolong tmn2 jgn sampe apes kaya saya rugi 38jt ya uda jauh2 sampe kalimantan utara orgnya ngabarin modus hpnya salah kirim...",Lebih dari 1 tahun lalu,Varian: Promo Black - 128GB,0,2026-03-11T23:46:35.110402
7dad1ed638b3,https://www.tokopedia.com/ismile-indonesia/apple-iphone-17-pro-garansi-resmi-256gb-512gb-1tb-1733012623030978443,"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,Anonymous,1,"saya beli lalu saya videokan unboxing lalu setelah saya update ke ios 18, tombol volume atas bermasalah. lalu kata adminnya bawa ke ibox lalu saya bawa ke ibox servicenya...",Lebih dari 1 tahun lalu,Varian: Natural - 128GB,0,2026-03-11T23:46:38.223984
7ff997a39d70,https://www.tokopedia.com/ismile-indonesia/apple-iphone-17-pro-garansi-resmi-256gb-512gb-1tb-1733012623030978443,"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,P***u,3,untuk hp harga 21jt tidak di packing secara layak hanya bubble tanpa ada pelindung yang lain misal kardus atau stereo foam. gila harga 21jt masih disuruh beli packing lag...,Lebih dari 1 tahun lalu,Varian: Black - 128GB,0,2026-03-11T23:46:43.373247
e929a66f3db6,https://www.tokopedia.com/ismile-indonesia/apple-iphone-17-pro-garansi-resmi-256gb-512gb-1tb-1733012623030978443,"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,s***m,2,"overall ok but service admin H so bad, so pushy for order & can tell about next day promo more cheapest 😠",Lebih dari 1 tahun lalu,Varian: Promo Natural - 128GB,0,2026-03-11T23:46:56.200664
94c0935ec0fe,https://www.tokopedia.com/ismile-indonesia/apple-iphone-17-pro-garansi-resmi-256gb-512gb-1tb-1733012623030978443,"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,Anonymous,2,Terutama after sale ya Dgn mudah nya bilang ‘barang blm tentu diganti’ kalian pikir ini barang 300rb coba lah untuk berbahasa dgn baik,Lebih dari 1 tahun lalu,Varian: Promo Natural - 128GB,0,2026-03-11T23:46:56.448088
2f6540dbafff,https://www.tokopedia.com/ismile-indonesia/apple-iphone-17-pro-garansi-resmi-256gb-512gb-1tb-1733012623030978443,"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,Anonymous,2,packing parah harga 21jt cuma bubble,Lebih dari 1 tahun lalu,Varian: Black - 128GB,0,2026-03-11T23:47:00.757583
532be3828842,https://www.tokopedia.com/ismile-indonesia/apple-iphone-17-pro-garansi-resmi-256gb-512gb-1tb-1733012623030978443,"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,Anonymous,1,BARANG DITUKAR DENGAN KARDUS YANG DILIPAT. PENIPU!,Lebih dari 1 tahun lalu,Varian: Promo Black - 256GB,0,2026-03-11T23:47:03.569872
a71e0d79ccf0,https://www.tokopedia.com/ismile-indonesia/apple-iphone-17-pro-garansi-resmi-256gb-512gb-1tb-1733012623030978443,"Apple iPhone 17 Pro Garansi Resmi 256GB 512GB 1TB - 256GB, Deep Blue",iSmile Indonesia,d***i,3,"Minta pa/a malah dikirim gdn sa/a, gak ada konfirmasi lagi hiks... katanya antara yg promo dan reguler sama aja, ternyata gak😭",Lebih dari 1 tahun lalu,Varian: Promo Natural - 128GB,0,2026-03-11T23:47:07.122607
