Customer Review,Emotion,Customer Rating,Category
barangnya datang dalam keadaan tidak bagus,Sadness,1,Toys and Hobbies
"Barang rusak ga berfungsi sama sekali� ga bisa di mainin sama sekali, parahhh",Sadness,1,Toys and Hobbies
kualitas main amat buruk.,Sadness,1,Toys and Hobbies
bahannya jelek kualitasnya sangat jelek baru brp menit sudah rusak,Sadness,1,Toys and Hobbies
barangnya datang dalam keadaan tidak bagus,Anger,1,Toys and Hobbies
"Barang rusak ga berfungsi sama sekali� ga bisa di mainin sama sekali, parahhh",Anger,1,Toys and Hobbies
kualitas main amat buruk.,Anger,1,Toys and Hobbies
bahannya jelek kualitasnya sangat jelek baru brp menit sudah rusak,Anger,1,Toys and Hobbies
Order yg k2 ko sy sangat kecewa...bungkus sudah pecah kopi berhamburan k mna� Gak tau ini kesalahan dr selese seler atau kurir.,Sadness,1,Food and Drink
Order yg k2 ko sy sangat kecewa...bungkus sudah pecah kopi berhamburan k mna� Gak tau ini kesalahan dr selese seler atau kurir.,Anger,1,Food and Drink
"butuh cepet di kirim lama di respon pun lama yang jual amanah brather,jujur nyesel gw beli di toko ini",Sadness,1,Office & Stationery
"BARANG TIDAK DIKIRIM, DELI RAJA DRAMA DI ECOM SINI ATUPUN ORANYE. JANGAN LAGI BELI DISINI KALO MEREKA NGADAIN PROMO. SAAT COMPLAIN DAN MAU KEKURANGAN BARANG DIKIRIM PUN TIDAK DI ACC ALASAN STOK KOSONG. JADI DANA DIKEMBALIKAN SESUAI HARGA PROMO. KALO GA NIAT BIKIN PROMO TOLONG GA USAH BIKIN, KALO NAMA DELI JELEK KAN DELI SENDIRI YANG RUGI. BYE GA AKAN BELI DELI LAGI",Anger,1,Office & Stationery
"Pengiriman lama, barang nya cacat tolong diperbaiki layanan nya !",Anger,1,Office & Stationery
"Salah kirim produk, admin lama banget balesnya. Proses retur gak jelas",Anger,1,Office & Stationery
"butuh cepet di kirim lama di respon pun lama yang jual amanah brather,jujur nyesel gw beli di toko ini",Fear,1,Office & Stationery
"Salah kirim produk, admin lama banget balesnya. Proses retur gak jelas",Fear,1,Office & Stationery
"Pengiriman lama, barang nya cacat tolong diperbaiki layanan nya !",Fear,1,Office & Stationery
"BARANG TIDAK DIKIRIM, DELI RAJA DRAMA DI ECOM SINI ATUPUN ORANYE. JANGAN LAGI BELI DISINI KALO MEREKA NGADAIN PROMO. SAAT COMPLAIN DAN MAU KEKURANGAN BARANG DIKIRIM PUN TIDAK DI ACC ALASAN STOK KOSONG. JADI DANA DIKEMBALIKAN SESUAI HARGA PROMO. KALO GA NIAT BIKIN PROMO TOLONG GA USAH BIKIN, KALO NAMA DELI JELEK KAN DELI SENDIRI YANG RUGI. BYE GA AKAN BELI DELI LAGI",Fear,1,Office & Stationery
saya sangat kecewa belanja di toko ini. respon penjual cuek. tanggapan lama. begitu datang barang tumpah basah. satu minggu baru datang. tidak tau di kirim nya lama atau di pengiriman nya lama.,Sadness,1,Automotive
saya sangat kecewa belanja di toko ini. respon penjual cuek. tanggapan lama. begitu datang barang tumpah basah. satu minggu baru datang. tidak tau di kirim nya lama atau di pengiriman nya lama.,Fear,1,Automotive
Paking tidak rapih jebol,Sadness,1,Animal Care
udah kesobek makanan kucing nya alot,Sadness,1,Animal Care
"Stelah pemakaian rutin, kutu anjing makin banyak. Spot yang di spray malah makin banyak, padahal awalnya kutunya sedikit doang, nyesal produk ini.",Sadness,1,Animal Care
"gak ada pengaruh, kutu msih hidup, sdh saya tes langsung. merasa ditipu nih, semoga dapat karma dah lu",Anger,1,Animal Care
Bangke sampe Rumah mati semua. Jangan beli disini.,Anger,1,Animal Care
"gak ada pengaruh, kutu msih hidup, sdh saya tes langsung. merasa ditipu nih, semoga dapat karma dah lu",Anger,1,Animal Care
